A,B,C,D,isolate,uniprod_id
coo:CCU_12540,CDS,complement(1257470..1258417),Mg2+ and Co2+ transporters,T02583,
coo:CCU_12550,CDS,complement(1258541..1260082),Na+/proline symporter,T02583,
coo:CCU_12560,CDS,complement(1260267..1260386),hypothetical protein,T02583,
coo:CCU_12570,CDS,complement(1260401..1261363),K+-dependent Na+/Ca+ exchanger related-protein,T02583,
coo:CCU_12590,CDS,complement(1263255..1263524),hypothetical protein,T02583,
coo:CCU_12600,CDS,complement(1263694..1266042),Superfamily I DNA and RNA helicases,T02583,
coo:CCU_12610,CDS,complement(1266174..1267154),Putative virion core protein (lumpy skin disease virus),T02583,
coo:CCU_12620,CDS,complement(1267194..1267871),"phage shock protein A, PspA",T02583,
coo:CCU_12630,CDS,complement(1268109..1269068),hypothetical protein,T02583,
coo:CCU_12640,CDS,complement(1269149..1269832),Predicted glutamine amidotransferases,T02583,
coo:CCU_12650,CDS,complement(1269838..1272228),Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria),T02583,
coo:CCU_12660,CDS,complement(1272322..1272864),Nitroreductase,T02583,
coo:CCU_12670,CDS,complement(1272889..1273602),hypothetical protein,T02583,
coo:CCU_29620,misc_RNA,1273812..1274125,Bacterial RNase P class A,T02583,
coo:CCU_12680,CDS,complement(1274154..1274291),hypothetical protein,T02583,
coo:CCU_12690,CDS,complement(1274276..1275283),Uridine kinase,T02583,
coo:CCU_12700,CDS,complement(1275292..1276017),Predicted SAM-dependent methyltransferase,T02583,
coo:CCU_12740,CDS,complement(1279394..1280398),"deoxyguanosinetriphosphate triphosphohydrolase, putative",T02583,
coo:CCU_12750,CDS,1280508..1282382,Excinuclease ABC subunit C,T02583,
coo:CCU_12800,CDS,complement(1291717..1305369),hypothetical protein,T02583,
coo:CCU_12810,CDS,complement(1305572..1306195),hypothetical protein,T02583,
coo:CCU_12820,CDS,complement(1306300..1307262),"sortase, SrtB family",T02583,
coo:CCU_12840,CDS,complement(1308342..1309577),serine hydroxymethyltransferase,T02583,
coo:CCU_12880,CDS,complement(1311439..1314015),ATP-dependent chaperone ClpB,T02583,
coo:CCU_12890,CDS,complement(1314147..1315610),hypothetical protein,T02583,
coo:CCU_12900,CDS,complement(1315818..1317266),Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosid ase,T02583,
coo:CCU_12910,CDS,complement(1317332..1318054),"NAD-dependent protein deacetylases, SIR2 family",T02583,
coo:CCU_12940,CDS,complement(1320423..1321445),hypothetical protein,T02583,
coo:CCU_12950,CDS,complement(1321448..1321879),hypothetical protein,T02583,
coo:CCU_12960,CDS,complement(1322004..1322747),Tetratricopeptide repeat.,T02583,
coo:CCU_12970,CDS,complement(1322744..1323691),von Willebrand factor type A domain.,T02583,
coo:CCU_12980,CDS,complement(1323711..1324742),von Willebrand factor type A domain.,T02583,
coo:CCU_12990,CDS,complement(1324733..1325209),hypothetical protein,T02583,
coo:CCU_13000,CDS,complement(1325255..1326145),Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain),T02583,
coo:CCU_13010,CDS,complement(1326162..1327151),MoxR-like ATPases,T02583,
coo:CCU_13020,CDS,complement(1327435..1328397),Na+/H+ antiporter,T02583,
coo:CCU_13050,CDS,complement(1330533..1330712),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_T_29510,tRNA,complement(1330825..1330900),CCU_T_29510,T02583,
coo:CCU_13070,CDS,1333926..1334417,hypothetical protein,T02583,
coo:CCU_13080,CDS,1334454..1334732,hypothetical protein,T02583,
coo:CCU_13110,CDS,1337101..1337295,hypothetical protein,T02583,
coo:CCU_13120,CDS,1337399..1337824,Phosphotransacetylase,T02583,
coo:CCU_13130,CDS,1337898..1338113,hypothetical protein,T02583,
coo:CCU_13140,CDS,1338132..1338749,"Uncharacterized proteins involved in stress response, homologs of TerZ and putative cAMP-binding protein CABP1",T02583,
coo:CCU_13160,CDS,complement(1339889..1340809),"ABC-type multidrug transport system, ATPase component",T02583,
coo:CCU_13170,CDS,complement(1340953..1341558),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_13180,CDS,complement(1341551..1341730),hypothetical protein,T02583,
coo:CCU_13250,CDS,complement(1352772..1354004),C-terminal peptidase (prc),T02583,
coo:CCU_13260,CDS,complement(1354069..1355304),Membrane-bound metallopeptidase,T02583,
coo:CCU_13270,CDS,complement(1355488..1356396),cell division protein FtsX,T02583,
coo:CCU_13290,CDS,complement(1357670..1358758),"transcriptional regulator, CdaR family",T02583,
coo:CCU_13300,CDS,complement(1358955..1360067),"carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)",T02583,
coo:CCU_13310,CDS,complement(1360522..1361112),hypothetical protein,T02583,
coo:CCU_13340,CDS,1362668..1362916,hypothetical protein,T02583,
coo:CCU_13350,CDS,complement(1363034..1364110),Protein of unknown function (DUF2899).,T02583,
coo:CCU_13360,CDS,complement(1364134..1364664),"Fructose-2,6-bisphosphatase",T02583,
coo:CCU_13370,CDS,complement(1364809..1366623),hypothetical protein,T02583,
coo:CCU_13380,CDS,complement(1366666..1367346),hypothetical protein,T02583,
coo:CCU_13400,CDS,complement(1368007..1368114),hypothetical protein,T02583,
coo:CCU_13410,CDS,complement(1368535..1369896),Glutamate dehydrogenase/leucine dehydrogenase,T02583,
coo:CCU_13420,CDS,complement(1370145..1370639),"transcriptional regulator, AsnC family",T02583,
coo:CCU_13430,CDS,complement(1370887..1371702),"HAD-superfamily hydrolase, subfamily IIB",T02583,
coo:CCU_13440,CDS,complement(1371878..1372237),hypothetical protein,T02583,
coo:CCU_13460,CDS,complement(1372788..1374188),sulfide dehydrogenase (flavoprotein) subunit SudA,T02583,
coo:CCU_13480,CDS,complement(1375512..1375817),hypothetical protein,T02583,
coo:CCU_13510,CDS,complement(1378202..1378465),Phosphotransferase System HPr (HPr) Family,T02583,
coo:CCU_13520,CDS,complement(1378919..1380985),"PTS system D-fructose-specific IIA component (F1P-forming), Frc family (TC 4.A.2.1.4)/PTS system D-fructose-specific IIB component (F1P-forming), Frc family (TC 4.A.2.1.4)/PTS system D-fructose-specific IIC component (F1P-forming), Frc family (TC 4.A.2.1.4)",T02583,
coo:CCU_13530,CDS,complement(1381089..1381991),fructose-1-phosphate kinase,T02583,
coo:CCU_13540,CDS,complement(1381991..1382740),Transcriptional regulators of sugar metabolism,T02583,
coo:CCU_13550,CDS,complement(1383137..1384069),cation diffusion facilitator family transporter,T02583,
coo:CCU_13560,CDS,complement(1384403..1387171),Beta-glucosidase-related glycosidases,T02583,
coo:CCU_13570,CDS,complement(1387339..1388016),"Uncharacterized protein encoded in toxicity protection region of plasmid R478, contains von Willebrand factor (vWF) domain",T02583,
coo:CCU_13580,CDS,complement(1388215..1389282),Predicted phosphatase homologous to the C-terminal domain of histone macroH2A1,T02583,
coo:CCU_13590,CDS,complement(1389312..1390556),glutamate N-acetyltransferase/amino-acid acetyltransferase,T02583,
coo:CCU_13600,CDS,complement(1390802..1392478),"glutamyl-tRNA synthetase, bacterial family",T02583,
coo:CCU_13610,CDS,complement(1392624..1393142),Predicted flavin-nucleotide-binding protein,T02583,
coo:CCU_13620,CDS,complement(1393248..1394132),Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase,T02583,
coo:CCU_13640,CDS,complement(1394853..1395809),Predicted dehydrogenases and related proteins,T02583,
coo:CCU_13650,CDS,complement(1396107..1397081),Isopropylmalate/homocitrate/citramalate synthases,T02583,
coo:CCU_13660,CDS,complement(1397495..1398913),Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosid ase,T02583,
coo:CCU_13670,CDS,complement(1399013..1399978),Transcriptional regulator/sugar kinase,T02583,
coo:CCU_13690,CDS,complement(1401863..1404556),small GTP-binding protein domain,T02583,
coo:CCU_13720,CDS,complement(1405875..1406921),Uncharacterized conserved protein,T02583,
coo:CCU_13730,CDS,complement(1407146..1408075),cysteine synthase A,T02583,
coo:CCU_13740,CDS,complement(1408155..1409465),O-acetylhomoserine sulfhydrolase,T02583,
coo:CCU_13750,CDS,1409970..1410404,"transcriptional regulator, BadM/Rrf2 family",T02583,
coo:CCU_13770,CDS,complement(1412306..1414069),threonyl-tRNA synthetase/Ser-tRNA(Thr) hydrolase,T02583,
coo:CCU_13780,CDS,complement(1414564..1415583),"Uncharacterized proteins, homologs of microcin C7 resistance protein MccF",T02583,
coo:CCU_13790,CDS,complement(1415674..1415982),Branched-chain amino acid transport protein (AzlD).,T02583,
coo:CCU_13800,CDS,complement(1415982..1416689),Predicted branched-chain amino acid permease (azaleucine resistance),T02583,
coo:CCU_13820,CDS,complement(1418882..1419973),Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain),T02583,
coo:CCU_13830,CDS,complement(1420010..1420969),MoxR-like ATPases,T02583,
coo:CCU_13840,CDS,complement(1421044..1421844),Tetratricopeptide repeat.,T02583,
coo:CCU_13850,CDS,complement(1421886..1422875),Lactate dehydrogenase and related dehydrogenases,T02583,
coo:CCU_13860,CDS,complement(1422982..1424517),His Kinase A (phosphoacceptor) domain./HAMP domain.,T02583,
coo:CCU_13870,CDS,complement(1424519..1425229),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_13880,CDS,complement(1425485..1426984),"Trk-type K+ transport systems, membrane components",T02583,
coo:CCU_13900,CDS,complement(1428506..1428640),hypothetical protein,T02583,
coo:CCU_13910,CDS,complement(1428680..1429447),hypothetical protein,T02583,
coo:CCU_13920,CDS,complement(1429431..1430936),hypothetical protein,T02583,
coo:CCU_13930,CDS,complement(1431038..1431916),AraC-type DNA-binding domain-containing proteins,T02583,
coo:CCU_13960,CDS,complement(1433826..1436162),ferrous iron transporter FeoB,T02583,
coo:CCU_13970,CDS,complement(1436322..1437737),"putative efflux protein, MATE family",T02583,
coo:CCU_13980,CDS,complement(1437771..1438397),O-6-methylguanine DNA methyltransferase,T02583,
coo:CCU_13990,CDS,complement(1438509..1439183),Predicted DNA alkylation repair enzyme,T02583,
coo:CCU_14020,CDS,complement(1441852..1442829),"TRAP transporter solute receptor, TAXI family",T02583,
coo:CCU_14040,CDS,complement(1443680..1444381),hypothetical protein,T02583,
coo:CCU_14050,CDS,complement(1444670..1445545),"NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding",T02583,
coo:CCU_14060,CDS,complement(1445775..1447496),"Carbon starvation protein, predicted membrane protein",T02583,
coo:CCU_14070,CDS,complement(1447912..1448040),hypothetical protein,T02583,
coo:CCU_14080,CDS,complement(1448037..1448975),Permeases of the drug/metabolite transporter (DMT) superfamily,T02583,
coo:CCU_14100,CDS,complement(1449335..1451026),diguanylate cyclase (GGDEF) domain,T02583,
coo:CCU_14110,CDS,complement(1451167..1452054),"EDD domain protein, DegV family",T02583,
coo:CCU_14120,CDS,complement(1452300..1453343),cytidyltransferase-related domain,T02583,
coo:CCU_14130,CDS,complement(1453360..1454094),nicotinamide mononucleotide transporter PnuC,T02583,
coo:CCU_14140,CDS,complement(1454141..1454470),hypothetical protein,T02583,
coo:CCU_14150,CDS,complement(1454500..1455063),ADP-ribose pyrophosphatase,T02583,
coo:CCU_14160,CDS,complement(1455097..1455612),Amidases related to nicotinamidase,T02583,
coo:CCU_14170,CDS,complement(1455912..1457090),Arabinose efflux permease,T02583,
coo:CCU_14180,CDS,complement(1457293..1458258),"Sugar kinases, ribokinase family",T02583,
coo:CCU_14190,CDS,complement(1458280..1459758),Beta-fructosidases (levanase/invertase),T02583,
coo:CCU_14200,CDS,complement(1459780..1460799),"monosaccharide ABC transporter membrane protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_14210,CDS,complement(1460801..1462300),"monosaccharide ABC transporter ATP-binding protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_14220,CDS,complement(1462446..1463462),"monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_14230,CDS,complement(1463969..1465966),"monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_14250,CDS,complement(1466000..1466980),Penicillin V acylase and related amidases,T02583,
coo:CCU_14270,CDS,complement(1468298..1469317),Signal transduction histidine kinase,T02583,
coo:CCU_14280,CDS,complement(1469342..1470010),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_14290,CDS,complement(1470026..1472107),"Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component",T02583,
coo:CCU_14300,CDS,complement(1472097..1472870),"ABC-type antimicrobial peptide transport system, ATPase component",T02583,
coo:CCU_14320,CDS,complement(1473173..1473415),Xanthine/uracil permeases,T02583,
coo:CCU_14330,CDS,1473563..1475362,Glycosidases,T02583,
coo:CCU_14340,CDS,complement(1475426..1476220),hypothetical protein,T02583,
coo:CCU_14360,CDS,complement(1477108..1479549),ATP-dependent transcriptional regulator,T02583,
coo:CCU_14390,CDS,complement(1483414..1486044),hypothetical protein,T02583,
coo:CCU_14430,CDS,complement(1492779..1493480),"ABC-type antimicrobial peptide transport system, ATPase component",T02583,
coo:CCU_14440,CDS,complement(1493482..1494246),hypothetical protein,T02583,
coo:CCU_14450,CDS,complement(1494281..1494832),hypothetical protein,T02583,
coo:CCU_14460,CDS,complement(1495050..1495175),hypothetical protein,T02583,
coo:CCU_14470,CDS,1495835..1496011,hypothetical protein,T02583,
coo:CCU_14490,CDS,complement(1496568..1496693),hypothetical protein,T02583,
coo:CCU_14500,CDS,complement(1496690..1496998),"addiction module antitoxin, RelB/DinJ family",T02583,
coo:CCU_14510,CDS,complement(1497185..1497499),Plasmid stabilisation system protein.,T02583,
coo:CCU_14520,CDS,complement(1497489..1497782),"addiction module antitoxin, RelB/DinJ family",T02583,
coo:CCU_14530,CDS,1498075..1498671,hypothetical protein,T02583,
coo:CCU_14540,CDS,1499017..1500543,propionate CoA-transferase,T02583,
coo:CCU_14560,CDS,complement(1501561..1502898),Acetyl-CoA hydrolase,T02583,
coo:CCU_14590,CDS,1506094..1506423,Membrane transport protein.,T02583,
coo:CCU_14600,CDS,complement(1506458..1506589),hypothetical protein,T02583,
coo:CCU_14630,CDS,complement(1514577..1515017),hypothetical protein,T02583,
coo:CCU_14640,CDS,complement(1515275..1515679),hypothetical protein,T02583,
coo:CCU_14670,CDS,complement(1517323..1517886),"Acetyltransferases, including N-acetylases of ribosomal proteins",T02583,
coo:CCU_14680,CDS,complement(1517947..1518549),Peptidase E,T02583,
coo:CCU_14700,CDS,complement(1519855..1520187),"transcriptional regulator, MarR family",T02583,
coo:CCU_14710,CDS,complement(1520565..1521863),Site-specific recombinase XerD,T02583,
coo:CCU_14720,CDS,complement(1521948..1522568),Helix-turn-helix.,T02583,
coo:CCU_14730,CDS,1522744..1522974,"DNA binding domain, excisionase family",T02583,
coo:CCU_14760,CDS,complement(1525268..1525954),Protein of unknown function (DUF1648).,T02583,
coo:CCU_14770,CDS,complement(1525951..1526220),"transcriptional regulator, ArsR family",T02583,
coo:CCU_14780,CDS,complement(1526478..1526717),hypothetical protein,T02583,
coo:CCU_14790,CDS,complement(1527002..1527910),DNA repair photolyase,T02583,
coo:CCU_14800,CDS,complement(1527898..1528587),Bacteriophage protein gp37,T02583,
coo:CCU_14810,CDS,complement(1528584..1529021),Transcriptional regulators,T02583,
coo:CCU_14820,CDS,complement(1529168..1530055),CAAX amino terminal protease family.,T02583,
coo:CCU_14840,CDS,complement(1531046..1531390),hypothetical protein,T02583,
coo:CCU_14850,CDS,complement(1531440..1531778),hypothetical protein,T02583,
coo:CCU_14860,CDS,complement(1531775..1532221),hypothetical protein,T02583,
coo:CCU_14870,CDS,complement(1532267..1532893),Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily),T02583,
coo:CCU_14880,CDS,complement(1532907..1533860),hypothetical protein,T02583,
coo:CCU_14890,CDS,complement(1533914..1534336),Predicted DNA-binding protein with PD1-like DNA-binding motif,T02583,
coo:CCU_14900,CDS,complement(1534400..1534861),ADP-ribose pyrophosphatase,T02583,
coo:CCU_14930,CDS,complement(1536008..1536781),hypothetical protein,T02583,
coo:CCU_14940,CDS,1536975..1537676,hypothetical protein,T02583,
coo:CCU_14950,CDS,complement(1537774..1539738),Myosin-crossreactive antigen,T02583,
coo:CCU_14960,CDS,complement(1539888..1541738),diguanylate cyclase (GGDEF) domain,T02583,
coo:CCU_14970,CDS,complement(1541800..1542360),transcriptional regulator,T02583,
coo:CCU_15000,CDS,complement(1545563..1546363),Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),T02583,
coo:CCU_15010,CDS,1546723..1547187,hypothetical protein,T02583,
coo:CCU_15020,CDS,1547178..1548131,Na+-driven multidrug efflux pump,T02583,
coo:CCU_15040,CDS,complement(1548557..1549255),"haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E",T02583,
coo:CCU_15050,CDS,complement(1549258..1550955),"carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)",T02583,
coo:CCU_15070,CDS,complement(1552098..1553492),"carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)",T02583,
coo:CCU_15080,CDS,complement(1553599..1554900),"carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)",T02583,
coo:CCU_15090,CDS,complement(1555238..1556950),Predicted signal transduction protein with a C-terminal ATPase domain,T02583,
coo:CCU_15100,CDS,complement(1557009..1558526),"two component transcriptional regulator, AraC family",T02583,
coo:CCU_15110,CDS,complement(1558699..1562475),4-alpha-glucanotransferase,T02583,
coo:CCU_15120,CDS,1562651..1563538,AraC-type DNA-binding domain-containing proteins,T02583,
coo:CCU_15130,CDS,complement(1563557..1565035),dipeptidase A. Cysteine peptidase. MEROPS family C69,T02583,
coo:CCU_15140,CDS,complement(1565039..1565611),Glycopeptide antibiotics resistance protein,T02583,
coo:CCU_15150,CDS,complement(1565636..1567270),hypothetical protein,T02583,
coo:CCU_15160,CDS,1567466..1568569,Metal-dependent hydrolase,T02583,
coo:CCU_15170,CDS,1568779..1570260,nucleotide sugar dehydrogenase,T02583,
coo:CCU_15190,CDS,complement(1571281..1571826),Abi-like protein.,T02583,
coo:CCU_15200,CDS,complement(1571823..1572158),Abi-like protein.,T02583,
coo:CCU_15210,CDS,complement(1572570..1572920),Calcineurin-like phosphoesterase.,T02583,
coo:CCU_15240,CDS,complement(1574249..1575679),hypothetical protein,T02583,
coo:CCU_15270,CDS,complement(1577416..1577727),Nucleotidyltransferase domain.,T02583,
coo:CCU_15280,CDS,complement(1577702..1578847),HNH endonuclease.,T02583,
coo:CCU_15310,CDS,complement(1581710..1582618),hypothetical protein,T02583,
coo:CCU_15340,CDS,complement(1585613..1586257),hypothetical protein,T02583,
coo:CCU_15370,CDS,complement(1590209..1590823),hypothetical protein,T02583,
coo:CCU_15380,CDS,complement(1591034..1591297),Protein of unknown function (DUF1292).,T02583,
coo:CCU_15390,CDS,complement(1591314..1591529),hypothetical protein,T02583,
coo:CCU_15400,CDS,complement(1591636..1592046),hypothetical protein,T02583,
coo:CCU_15410,CDS,complement(1592259..1592480),Predicted transcriptional regulator,T02583,
coo:CCU_15420,CDS,complement(1592980..1593153),hypothetical protein,T02583,
coo:CCU_15430,CDS,complement(1593312..1595948),"pyruvate, phosphate dikinase",T02583,
coo:CCU_15440,CDS,complement(1596385..1596462),hypothetical protein,T02583,
coo:CCU_15450,CDS,complement(1596618..1597628),diaminobutyrate aminotransferase apoenzyme,T02583,
coo:CCU_15480,CDS,1599458..1600864,Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs,T02583,
coo:CCU_15500,CDS,complement(1601775..1602674),GTP-binding protein Era,T02583,
coo:CCU_15530,CDS,complement(1606114..1606617),"cytidine deaminase, homotetrameric",T02583,
coo:CCU_15540,CDS,complement(1606803..1607537),hypothetical protein,T02583,
coo:CCU_15550,CDS,complement(1607703..1609334),chaperonin GroL,T02583,
coo:CCU_15560,CDS,complement(1609415..1609702),Co-chaperonin GroES (HSP10),T02583,
coo:CCU_15570,CDS,complement(1609873..1610748),3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,T02583,
coo:CCU_15580,CDS,1610896..1611615,hypothetical protein,T02583,
coo:CCU_15590,CDS,complement(1611670..1612317),Orthopoxvirus protein of unknown function (DUF830).,T02583,
coo:CCU_15600,CDS,complement(1612414..1613151),Glutamyl-and glutaminyl-tRNA synthetases,T02583,
coo:CCU_15610,CDS,complement(1613270..1614091),Glutamyl-and glutaminyl-tRNA synthetases,T02583,
coo:CCU_T_29390,tRNA,1614293..1614365,CCU_T_29390,T02583,
coo:CCU_15620,CDS,complement(1614434..1614613),hypothetical protein,T02583,
coo:CCU_15650,CDS,complement(1615780..1616562),"rRNA methylase, putative, group 3",T02583,
coo:CCU_15660,CDS,complement(1616552..1617109),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_15670,CDS,complement(1617094..1618485),cysteinyl-tRNA synthetase,T02583,
coo:CCU_15680,CDS,1618762..1619064,Protein of unknown function (DUF1292).,T02583,
coo:CCU_15690,CDS,complement(1619076..1619429),hypothetical protein,T02583,
coo:CCU_15720,CDS,complement(1621580..1622083),Predicted metal-binding protein related to the C-terminal domain of SecA,T02583,
coo:CCU_15730,CDS,complement(1622164..1622376),hypothetical protein,T02583,
coo:CCU_15750,CDS,complement(1624184..1624579),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_15770,CDS,complement(1626109..1627008),hypothetical protein,T02583,
coo:CCU_15780,CDS,complement(1627222..1628277),histidinol-phosphate aminotransferase,T02583,
coo:CCU_15790,CDS,complement(1628279..1629355),bacterial peptide chain release factor 1 (bRF-1),T02583,
coo:CCU_15800,CDS,complement(1629408..1630271),"protein-(glutamine-N5) methyltransferase, release factor-specific",T02583,
coo:CCU_15830,CDS,1633368..1633901,hypothetical protein,T02583,
coo:CCU_15840,CDS,complement(1634648..1635244),ribosome biogenesis GTP-binding protein YsxC/EngB,T02583,
coo:CCU_15850,CDS,complement(1635255..1637558),ATP-dependent protease La,T02583,
coo:CCU_15880,CDS,complement(1639095..1639676),"ATP-dependent Clp protease, proteolytic subunit ClpP",T02583,
coo:CCU_15890,CDS,complement(1639723..1641009),trigger factor,T02583,
coo:CCU_15900,CDS,complement(1641277..1641483),"Small, acid-soluble spore proteins, alpha/beta type.",T02583,
coo:CCU_15910,CDS,complement(1641616..1642683),butyrate kinase,T02583,
coo:CCU_15940,CDS,complement(1646279..1646761),LuxS protein involved in autoinducer AI2 synthesis,T02583,
coo:CCU_15950,CDS,complement(1646764..1647465),methylthioadenosine nucleosidase,T02583,
coo:CCU_15990,CDS,complement(1651610..1653538),FOG: EAL domain,T02583,
coo:CCU_16000,CDS,complement(1653601..1654293),Glycerophosphoryl diester phosphodiesterase,T02583,
coo:CCU_16010,CDS,complement(1654286..1654477),hypothetical protein,T02583,
coo:CCU_16060,CDS,complement(1659008..1660003),Transcriptional regulator/sugar kinase,T02583,
coo:CCU_16070,CDS,complement(1660214..1661605),uracil-xanthine permease,T02583,
coo:CCU_16080,CDS,complement(1661674..1663914),"xanthine dehydrogenase, molybdenum binding subunit apoprotein",T02583,
coo:CCU_16100,CDS,complement(1664442..1665242),"Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs",T02583,
coo:CCU_16110,CDS,1665372..1666505,"ABC-type Fe3+-hydroxamate transport system, periplasmic component",T02583,
coo:CCU_16120,CDS,1666838..1667491,"ABC-type Fe3+-siderophore transport system, permease component",T02583,
coo:CCU_16130,CDS,1667488..1668312,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",T02583,
coo:CCU_16150,CDS,1669103..1669996,Uncharacterized MobA-related protein,T02583,
coo:CCU_16180,CDS,complement(1671472..1671702),hypothetical protein,T02583,
coo:CCU_16190,CDS,complement(1671964..1672419),Protein of unknown function (DUF3021).,T02583,
coo:CCU_16200,CDS,complement(1672431..1672877),Response regulator of the LytR/AlgR family,T02583,
coo:CCU_16210,CDS,1673465..1673758,Condensation domain.,T02583,
coo:CCU_16220,CDS,1673810..1674856,Condensation domain.,T02583,
coo:CCU_16230,CDS,1674919..1675167,Acyl carrier protein,T02583,
coo:CCU_16240,CDS,1675236..1676795,Long-chain acyl-CoA synthetases (AMP-forming),T02583,
coo:CCU_16250,CDS,1676890..1677468,Transcriptional regulator,T02583,
coo:CCU_16260,CDS,complement(1677514..1678191),hypothetical protein,T02583,
coo:CCU_16270,CDS,complement(1678195..1678980),hypothetical protein,T02583,
coo:CCU_16290,CDS,complement(1680934..1681257),Transcriptional regulators,T02583,
coo:CCU_16300,CDS,complement(1681571..1682413),hypothetical protein,T02583,
coo:CCU_16320,CDS,complement(1683848..1684417),Predicted transcriptional regulators,T02583,
coo:CCU_16330,CDS,complement(1684694..1685881),translation elongation factor 1A (EF-1A/EF-Tu),T02583,
coo:CCU_16370,CDS,complement(1689352..1689771),SSU ribosomal protein S12P,T02583,
coo:CCU_16380,CDS,complement(1689865..1690407),hypothetical protein,T02583,
coo:CCU_16390,CDS,complement(1690587..1694309),DNA-directed RNA polymerase subunit beta',T02583,
coo:CCU_16400,CDS,complement(1694327..1694467),hypothetical protein,T02583,
coo:CCU_16410,CDS,complement(1694439..1696616),"DNA-directed RNA polymerase, beta subunit/140 kD subunit",T02583,
coo:CCU_16420,CDS,complement(1696618..1698231),"DNA-directed RNA polymerase, beta subunit/140 kD subunit",T02583,
coo:CCU_16430,CDS,complement(1698519..1698887),LSU ribosomal protein L12P,T02583,
coo:CCU_16440,CDS,complement(1699054..1699542),LSU ribosomal protein L10P,T02583,
coo:CCU_16450,CDS,complement(1699801..1700334),N-acetylmuramoyl-L-alanine amidase,T02583,
coo:CCU_16460,CDS,complement(1700417..1701382),"Lyzozyme M1 (1,4-beta-N-acetylmuramidase)",T02583,
coo:CCU_16470,CDS,complement(1701428..1703176),Esterase/lipase,T02583,
coo:CCU_16480,CDS,1703340..1703726,L-aspartate 1-decarboxylase,T02583,
coo:CCU_16500,CDS,complement(1704580..1705374),conserved hypothetical protein TIGR01440,T02583,
coo:CCU_16510,CDS,complement(1705406..1705936),hypothetical protein,T02583,
coo:CCU_16530,CDS,complement(1707031..1707168),hypothetical protein,T02583,
coo:CCU_16540,CDS,complement(1707359..1707835),methylglyoxal synthase,T02583,
coo:CCU_16550,CDS,1708122..1709594,Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_16560,CDS,complement(1709742..1710413),Predicted membrane protein,T02583,
coo:CCU_16590,CDS,1711276..1711365,hypothetical protein,T02583,
coo:CCU_16600,CDS,1711449..1712042,hypothetical protein,T02583,
coo:CCU_16610,CDS,complement(1712062..1712754),Putative effector of murein hydrolase,T02583,
coo:CCU_16620,CDS,complement(1712747..1713115),Putative effector of murein hydrolase LrgA,T02583,
coo:CCU_16630,CDS,complement(1713430..1714050),Phosphate transport regulator (distant homolog of PhoU),T02583,
coo:CCU_16640,CDS,complement(1714291..1715352),Phosphate/sulphate permeases,T02583,
coo:CCU_16650,CDS,complement(1715355..1718021),"ATPase, P-type (transporting), HAD superfamily, subfamily IC",T02583,
coo:CCU_16660,CDS,complement(1718349..1718696),nitrogen regulatory protein P-II,T02583,
coo:CCU_16670,CDS,complement(1718944..1720188),ammonium transporter,T02583,
coo:CCU_16680,CDS,complement(1720485..1721171),hypothetical protein,T02583,
coo:CCU_16690,CDS,complement(1721332..1722273),Predicted membrane protein,T02583,
coo:CCU_16700,CDS,complement(1722597..1723298),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
